Database,Module,Pathway,pvalue,pvalue_adj,NumberOfOverlap,NumberOfGenesInPathway,Odds.Ratio,Combined.Score,Genes
57170,Reactome_2016,16,Viral mRNA Translation Homo sapiens R-HSA-192823,4.11667501398503e-26,4.51599249034157e-23,22,84,42.2172561212592,2467.69008885975,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS4X;RPS15;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
57171,Reactome_2016,16,Peptide chain elongation Homo sapiens R-HSA-156902,4.11667501398503e-26,4.51599249034157e-23,22,84,42.2172561212592,2467.69008885975,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS4X;RPS15;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
57172,Reactome_2016,16,Selenocysteine synthesis Homo sapiens R-HSA-2408557,9.75331167154925e-26,5.34969145184476e-23,22,87,40.2626506024096,2318.71016586092,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS4X;RPS15;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
57173,Reactome_2016,16,Eukaryotic Translation Termination Homo sapiens R-HSA-72764,9.75331167154925e-26,5.34969145184476e-23,22,87,40.2626506024096,2318.71016586092,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS4X;RPS15;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
57174,Reactome_2016,16,Eukaryotic Translation Elongation Homo sapiens R-HSA-156842,1.7000956986236e-25,6.2166832713003e-23,22,89,39.0568243121741,2227.56468306972,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS4X;RPS15;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
57175,Reactome_2016,16,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956,1.7000956986236e-25,6.2166832713003e-23,22,89,39.0568243121741,2227.56468306972,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS4X;RPS15;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
55989,GO_Biological_Process_2021,16,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),2.2322369006181e-25,6.99646822850873e-23,22,90,38.4805102763997,2184.21622283999,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
55990,GO_Biological_Process_2021,16,cotranslational protein targeting to membrane (GO:0006613),6.40875070729241e-25,1.75759988147494e-22,22,94,36.3353413654619,2024.1315159616,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
57176,Reactome_2016,16,Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689,1.06482409932669e-24,2.59580452658083e-22,22,96,35.3497232171931,1951.2775946105,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS4X;RPS15;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
57177,Reactome_2016,16,Influenza Viral RNA Transcription and Replication Homo sapiens R-HSA-168273,1.3095173971442e-24,2.87308116933437e-22,24,128,27.7317073170732,1525.0326855998,RPL4;RPL30;RPL41;RPL32;NUP188;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;NUP50;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57178,Reactome_2016,16,Cap-dependent Translation Initiation Homo sapiens R-HSA-72737,2.11335385815255e-24,3.86391530398891e-22,23,114,30.208658008658,1646.78771506828,RPL4;EIF2B5;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57179,Reactome_2016,16,Eukaryotic Translation Initiation Homo sapiens R-HSA-72613,2.11335385815255e-24,3.86391530398891e-22,23,114,30.208658008658,1646.78771506828,RPL4;EIF2B5;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
55991,GO_Biological_Process_2021,16,protein targeting to ER (GO:0045047),5.73754073251108e-24,9.53242295694597e-22,22,103,32.2833556448014,1727.64415043504,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57180,Reactome_2016,16,Influenza Life Cycle Homo sapiens R-HSA-168255,6.08267645383973e-24,9.53242295694597e-22,24,136,25.7404181184669,1375.99516894913,RPL4;RPL30;RPL41;RPL32;NUP188;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;NUP50;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57181,Reactome_2016,16,Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802,1.13415849418453e-23,1.38241318680048e-21,22,106,31.1256454388985,1644.47884812057,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57182,Reactome_2016,16,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957,1.13415849418453e-23,1.38241318680048e-21,22,106,31.1256454388985,1644.47884812057,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57183,Reactome_2016,16,L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827,1.13415849418453e-23,1.38241318680048e-21,22,106,31.1256454388985,1644.47884812057,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57184,Reactome_2016,16,3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279,1.13415849418453e-23,1.38241318680048e-21,22,106,31.1256454388985,1644.47884812057,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57185,Reactome_2016,16,SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339,1.41634306448057e-23,1.55372834173519e-21,22,107,30.7579021970234,1618.21564652634,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57186,Reactome_2016,16,GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706,1.41634306448057e-23,1.55372834173519e-21,22,107,30.7579021970234,1618.21564652634,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
55992,GO_Biological_Process_2021,16,cytoplasmic translation (GO:0002181),1.7907605286509e-23,1.87091838088575e-21,21,93,34.4760479041916,1805.74564275265,RPL4;RPL30;RPL41;RPL32;RPLP1;RPL23;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPL38;RPS20;RPL15;RPS27A;UBA52;RPL19;RPS23
57187,Reactome_2016,16,Selenoamino acid metabolism Homo sapiens R-HSA-2408522,3.36481825464271e-23,3.35564147758459e-21,22,111,29.3695681602816,1519.76011720971,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57188,Reactome_2016,16,Influenza Infection Homo sapiens R-HSA-168254,4.2774198594723e-23,4.08028659638357e-21,24,147,23.4253420582986,1206.54817802438,RPL4;RPL30;RPL41;RPL32;NUP188;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;NUP50;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
55993,GO_Biological_Process_2021,16,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184),5.11719440860896e-23,4.67796855520335e-21,22,113,28.7211703958692,1474.1672282004,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57189,Reactome_2016,16,Translation Homo sapiens R-HSA-72766,1.87151095122578e-21,1.64243801079575e-19,23,151,21.4361742424242,1023.09588188632,RPL4;EIF2B5;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57787,KEGG_2021_Human,16,Ribosome,5.44938680939924e-21,4.59844409993151e-19,23,158,20.3174410774411,947.987091872755,RPL4;RPL30;RPL41;RPL32;MRPS14;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
55994,GO_Biological_Process_2021,16,peptide biosynthetic process (GO:0043043),9.79929403842904e-21,7.96283374826419e-19,23,162,19.728755177676,908.94274702497,RPL4;RPL30;RPL41;RPL32;MRPS14;RPL23;RPLP1;RPL13A;FURIN;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;RPS23;RPL19
57190,Reactome_2016,16,Major pathway of rRNA processing in the nucleolus Homo sapiens R-HSA-6791226,1.73375203210611e-20,1.358518556586e-18,23,166,19.1730027548209,872.398735877212,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;EXOSC9;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
55995,GO_Biological_Process_2021,16,nuclear-transcribed mRNA catabolic process (GO:0000956),3.46221641206826e-20,2.61934579588889e-18,23,171,18.5205569205569,829.90231989861,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;EXOSC9;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
9947,GWAS_Catalog_2019,5,Heel bone mineral density,5.82799786818317e-22,3.65240626399039e-18,102,898,3.3836867263145,165.44265053716,CYFIP1;IRS2;RBPJ;GLDN;SLC8A1;CMIP;CCDC91;COTL1;ATXN7L1;DLEU2;PDE8A;MBNL1;PRKCE;AP1B1;RUNX1;CPED1;TANC1;PRKD3;FAR2;FTO;MACF1;CCDC26;SLC1A3;ITPR2;THADA;ARHGAP15;ZFP36L2;STK3;ABR;EPB41L2;VTI1A;HIVEP3;ATG7;RREB1;MARK3;CREBBP;ZFHX3;RASSF8;FOXN3;SSH2;ARHGAP26;ARHGAP25;FLI1;ARHGAP24;MED13L;DLG1;CDK6;TBXAS1;BCL2;TCF4;CPEB4;RERE;WNT2B;BNC2;DENND1A;DOCK8;SNX13;PTPRJ;N4BP2L2;AFF1;CAPZB;PPP6R2;TRPS1;TIMP2;BCAS3;DST;DNMT3A;TET2;VPS13B;ARID1A;SPIDR;ARID1B;SUPT3H;CTTNBP2NL;TGFBR2;RAD51B;MS4A6A;NAV3;SETBP1;ZNF638;DPYD;KCNMA1;PPARD;ITGA9;HDAC4;NFAT5;SNX29;FAM168A;GMDS;GNG7;JAZF1;PLXDC2;MERTK;SORL1;SH3RF3;MKLN1;FMNL2;NFIA;AXL;NFIC;PKN2;ATXN10
57191,Reactome_2016,16,rRNA processing Homo sapiens R-HSA-72312,1.13679595727632e-19,8.31376776754749e-18,23,180,17.45087820884,761.223066054544,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;EXOSC9;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57192,Reactome_2016,16,Infectious disease Homo sapiens R-HSA-5663205,2.79128594597995e-18,1.97551011789678e-16,28,348,10.6596875,430.864880777276,RPL4;RPL30;NUP188;RPL32;RPLP1;FURIN;RPL8;RPS15;RPS4X;UBB;PSMD3;RPL14;RPL35;RPLP2;RPL38;RPL15;RPS27A;RPL19;MAP2K3;RPL41;RPL23;RPL13A;RPL23A;RPS25;NUP50;RPS20;UBA52;RPS23
55996,GO_Biological_Process_2021,16,gene expression (GO:0010467),5.08236695978603e-18,3.48459784680329e-16,28,356,10.3954268292683,413.953740562679,RPL4;RPL30;NUP188;RPL32;MRPS14;POLDIP3;RPLP1;RPL8;RPS15;DUSP11;RPS4X;RPL14;RPL35;RPLP2;RPL38;RPL15;RPS27A;RPL19;RPL41;RPL23;TESC;RPL13A;RPL23A;PRPF4;RPS25;NUP50;RPS20;RPS23
55997,GO_Biological_Process_2021,16,translation (GO:0006412),5.90343546892735e-18,3.92489012691715e-16,23,214,14.319625575123,568.073826232833,RPL4;RPL30;RPL41;RPL32;MRPS14;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
57788,KEGG_2021_Human,16,Coronavirus disease,4.69541628873522e-16,3.02992451102502e-14,22,232,12.3707401032702,436.622484975249,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
55998,GO_Biological_Process_2021,16,rRNA metabolic process (GO:0016072),1.00231414731101e-15,6.28307782628673e-14,19,162,15.4636901559978,534.061192623607,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS25;EXOSC9;RPL14;RPL35;RPLP2;RPL38;RPL15;UBA52;RPL19
39117,GO_Biological_Process_2021,9,nervous system development (GO:0007399),4.30146386084672e-17,1.58207840801942e-13,40,447,5.9637727776529,224.744724545521,ROBO2;NCKAP1;GPM6A;CHRM3;SH3GL3;NLGN1;MYT1L;NRXN1;ADAM22;GRIK1;KALRN;PKD1;ROBO1;NRGN;UGT8;MOBP;PTPRZ1;ERBB4;DNER;SPOCK1;NRCAM;GPM6B;KIRREL3;RBFOX1;ADGRV1;MOG;SCD5;APLP1;LSAMP;NRG1;DCLK1;NFASC;SCN8A;MAL;CNTN4;SCN2A;RAPGEF5;DSCAML1;FGF12;ADGRL3
55999,GO_Biological_Process_2021,16,cellular protein metabolic process (GO:0044267),2.70176474750765e-15,1.61549035865923e-13,27,417,8.35155279503106,280.151763039964,RPL4;RPL30;RPL32;MRPS14;RPLP1;FURIN;RPL8;RPS15;RPS4X;RPL14;RPL35;RPLP2;RPL38;RPL15;RPS27A;RPL19;RPL41;RPL23;SIAH2;MCRS1;RPL13A;RPL23A;RPS25;RPS20;L2HGDH;UBA52;RPS23
