source,target,importance
ADI1,EXTL2,66.1329223012893
ADI1,ACAT2,146.99219869231493
ADI1,TFP1,80.25787359005497
ADI1,DYRK4,24.928259890072084
TFAM,CCL3,25.87521587449587
TFAM,CIT,13.535980782405343
AC091551.1,CCDC65,95.24133328838356
AC091551.1,MAGEF1,266.2590445530975
AC091551.1,RNF175,74.73521917578023
AC091551.1,EI24,57.91464414344801
AC091551.1,SQOR,17.10240047743458
AC091551.1,AC024145.1,22.242606818716002
AC091551.1,QSOX2,35.03094881019963
AC091551.1,HEMK1,41.53358984405674
CCDC65,RNF175,114.2435432557372
EEF1DP2,AL021368.2,155.0942906841762
AL021368.2,MRPL22,30.992916162733266
AL021368.2,AC011330.3,63.36652256596503
AL021368.2,U2AF1L5,29.692323345773048
AL021368.2,CXorf56,35.22727698220625
AL021368.2,MAP1A,51.716442798254214
GPT2,ZSCAN12,108.80071568829192
GPT2,SLC5A6,13.334990995794485
GPT2,CHMP7,15.440953851672381
ZSCAN12,C20orf96,88.24175493035256
ZSCAN12,TRMT6,16.740721040868177
ZSCAN12,TBC1D10B,19.07784464545623
ZSCAN12,FANK1,24.45700640490363
ZSCAN12,AATK,20.49490257738291
ZSCAN12,ASB8,18.587890021448572
ZSCAN12,RABL3,16.78598058010091
ZSCAN12,DYRK4,26.070149588626037
ZSCAN12,AC091551.1,15.82503769338582
POLR2A,ZNF331,93.6846730923132
POLR2A,WDR45B,30.338685916206288
POLR2A,NOD1,30.808971401771814
AL845472.1,ZNF649,178.79326360733734
AL845472.1,MAF1,28.488729264340073
AL845472.1,AC019163.1,29.93330720555658
AL845472.1,RBBP8,63.372344226405446
AL845472.1,TTLL12,39.960729407115856
AL845472.1,NUTF2,33.7142858775212
KPNB1,ETNK1,69.77768592713308
KPNB1,CRK,63.3452009473268
KPNB1,CASC4,32.47756397613157
IQCB1,LAIR1,14.970266990658939
AC145285.4,COPZ1,16.968311674765456
AC145285.4,AC024145.1,16.348184446451647
IFRD2,AC145285.4,118.79451947264475
IFRD2,ADAMTSL4,101.21165717376178
IFRD2,OFD1P17,72.62126292320191
IFRD2,FTSJ1,34.30623272491163
IFRD2,SSNA1,16.166858405037758
IFRD2,SSX2IP,22.666290592904208
IFRD2,EIF1B,44.766610382433456
IFRD2,RANBP1,45.87249778989682
IFRD2,AC127526.1,20.582934281719197
IFRD2,TIRAP,12.550502808400221
IFRD2,MYADM,31.138868955894978
SPRTN,SPINT2,140.2914070050117
SPRTN,DZANK1,26.391933668646423
SPRTN,NDUFA6-DT,11.977346336834449
SPRTN,ADRB2,32.88273540900354
SPINT2,SPIN3,138.9909069884911
SPINT2,MCM5,103.04091101848459
SPINT2,TNFAIP8L1,24.095925584678575
SPINT2,CNOT11,53.12955472414551
SPINT2,HPN,15.98863139231439
FADS3,CARNS1,26.235539902664893
FADS3,ERCC2,17.309604176164093
FADS3,MTERF3,35.96533848745132
FADS3,PLEKHH2,25.11634749110122
C7orf43,COMMD5,64.90325044090201
C7orf43,NENF,29.74374648114287
C7orf43,ZNF761,14.983003964225414
C7orf43,AC019163.1,78.09508068725401
C7orf43,DGKQ,35.315431908671755
C7orf43,GABARAPL2,65.79960022557215
C7orf43,AC010422.6,54.61603455529052
C7orf43,ZMAT2,22.712377517341977
C7orf43,GPRC5D-AS1,23.522128482288664
C7orf43,FEM1C,41.469976860316976
C7orf43,VPS16,29.42835354880515
C7orf43,LRFN5,26.573918180413134
C7orf43,SCAMP4,40.53784390546069
C7orf43,TTLL12,70.20136008489104
C7orf43,C3orf35,20.44795090502792
SETD7,AC025682.1,55.313123121847525
SETD7,MCL1,61.46790538108686
SETD7,PLAA,27.265338582956733
SETD7,TMX1,27.72080206003404
SETD7,SRGAP2-AS1,13.028685359991059
SETD7,SLC25A19,14.421018035214795
SETD7,HLA-DQB1,20.229138522444305
AC025682.1,SLC15A3,39.771683054958615
COPS6,TMEM184B,36.19103857817889
COPS6,CSNK1G1,77.97990341178783
COPS6,PHF6,26.64240308730467
COPS6,USP54,40.8238135236029
COPS6,AGL,18.996373148610612
COPS6,INTS12,16.699923702501913
COPS6,MIR503HG,22.924369252591116
COPS6,CNIH3,14.261458194458214
PRDM15,WIPF3,62.11605030704822
SLC5A6,GMNN,17.44835402766683
SLC5A6,OLFML3,33.25581648846207
IQCE,SELL,41.7536473581405
SLC41A1,HEXIM1,148.1762012927128
SLC41A1,MOCS2,26.5614191082054
SLC41A1,DGKQ,31.56331026659776
SLC41A1,ZNF649,30.718419237048863
HEXIM1,SLIT1,38.44292563609395
HEXIM1,KIAA1143,60.87239046773309
HEXIM1,OGFOD1,40.60005082802985
HEXIM1,SNHG8,36.03601586479698
GPAM,AL845472.1,140.69371278711046
GPAM,HCST,78.7124219160476
GPAM,CSRP1,72.79983052172413
GPAM,RPL23AP82,29.003949751638604
GPAM,OFD1P17,166.27969730302328
GPAM,VILL,70.84314652788863
GPAM,AC034236.1,27.62056686100386
GPAM,SLC41A1,27.63566362627263
GPAM,TOB1,23.70960384200914
GPAM,BAG2,83.01274587711929
GPAM,GUCD1,31.754244788236754
GPAM,HIST2H2BD,37.33856511738263
GPAM,CIT,62.34907505584025
ASRGL1,RRN3P1,15.33293935643926
ASRGL1,SIAH2,15.797019918465006
ASRGL1,TOR3A,22.94620790734706
DISP1,BAALC-AS1,74.45960275455816
BAALC-AS1,CDKL1,16.470861279190018
ZNF337,TCHP,83.53548959288338
ZNF337,AC025682.1,53.211804107706705
TCHP,GSR,74.97919695828557
TCHP,SLC44A2,55.851291720359356
TCHP,PDE6D,42.144698211360584
TCHP,USP31,35.72619182110881
TCHP,ZCCHC10,18.028794854766247
TCHP,PRR12,34.221002709378894
TCHP,REPS2,22.75215694024582
HMGN5,H1FX,125.6331462157912
HMGN5,NSUN5P2,67.820494931345
HMGN5,BCL7B,36.830500353048635
HMGN5,THAP6,22.896839690364448
HMGN5,ARMC9,42.57678889079877
HMGN5,TLR3,15.601126987632785
KCTD1,MTERF3,35.254618646713105
KCTD1,MZT2B,23.600204163451288
KCTD1,PAQR3,39.51402557474729
KCTD1,RBM15,22.42893288008529
KCTD1,DUSP11,161.22184573280822
GTF2IP12,ADORA1,31.437399206172664
GTF2IP12,FAM173A,47.91281207533652
GTF2IP12,SLC24A4,76.88499327573669
GTF2IP12,NFKB2,90.12843637671445
GTF2IP12,AC098588.2,41.697085850135174
GTF2IP12,YBEY,13.92397852982703
GTF2IP12,MED29,33.94845348454715
GTF2IP12,GBP1,72.84303340842578
GTF2IP12,TMEM11,32.34971299250396
GTF2IP12,AC008438.1,18.911612429121078
MINDY1,GTF2IP12,122.97230521352193
MINDY1,ZNF552,39.59911266930056
MINDY1,IPO13,61.22626010936432
MINDY1,CRHBP,23.974714483143572
MINDY1,SLC24A1,23.547442253287233
MINDY1,MAF1,184.59590374906162
MINDY1,ZPR1,75.62528520075965
MINDY1,LINC00320,94.71539599513261
MINDY1,MIR325HG,86.94072495027432
MINDY1,AC124319.2,57.80330203586639
MINDY1,FAM189B,23.79667871973451
MINDY1,ASB8,42.25988379965058
MINDY1,UQCRC1,12.516431078859682
MINDY1,ATG4D,22.405474275990926
MINDY1,C7orf43,15.503146814151624
PLBD1-AS1,ZNF627,60.99374433513106
PLBD1-AS1,AC097634.3,22.016755941937443
PLBD1-AS1,AC064807.1,15.274526259478193
PLBD1-AS1,LUC7L2,79.085667942639
PLBD1-AS1,PPIL3,18.08102509822128
PLBD1-AS1,SPRTN,20.131881367161668
PLBD1-AS1,OGG1,30.000901732993043
ZNF627,ZEB2-AS1,44.271638607262105
ZNF627,ERI2,58.14833102056121
ZNF627,LRRC47,27.21418969356489
ZNF627,RASL10A,40.04963876989472
ZNF627,PHAX,29.716200845554
ZNF627,TIRAP,28.67430125316269
ZNF627,NBPF8,54.49696136548477
ZNF627,TBC1D7,37.88506534518228
ZNF627,NRGN,12.057949518590176
ZNF627,ARMC9,17.33217241753366
ZNF627,DGAT1,39.021179619965714
ZNF627,SLC37A2,21.91568149625632
ZNF627,FCHSD1,24.94227546154327
ZNF627,RAP2B,16.35431164672663
ZNF627,TNS1,18.427699461398756
ZSCAN32,CHAF1A,29.061069627332824
ZSCAN32,AC024145.1,49.04641055516045
ZSCAN32,AC156455.1,17.157971069614284
ZSCAN32,C12orf66,25.4548139090326
ZSCAN32,EXOSC6,22.05828828564664
ZSCAN32,SSPO,11.6307173365761
ZSCAN32,PRELID3A,18.69448965965778
KCTD21,NEIL1,16.883996770503398
KCTD21,PAQR3,20.29873525125032
CYB5D2,SMIM3,70.11190488707703
CYB5D2,COL5A1,18.513573008860945
CYB5D2,HSBP1L1,49.063630569083614
CYB5D2,AC012358.3,72.17285078103177
CYB5D2,SARM1,29.235052064698323
CYB5D2,AC009690.2,22.119174976356458
CYB5D2,UFD1,29.861387572353927
CYB5D2,MROH8,16.65180396161502
CYB5D2,DNMBP,18.403723517252505
RASGRP4,CARD9,30.929881894754406
RASGRP4,CDIP1,28.560095943383434
RASGRP4,RRP7A,17.64647014773976
RASGRP4,WDR12,29.39412184321429
TMEM104,CASC15,37.31817840611172
